,City,NickName,Province,Sex,Signature
0,,Easy,北京,2,初次见面 请多指教
1,丹东,薛(*^﹏^*)翔匀,辽宁,2,汪汪！汪汪！
2,临汾,李向阳,山西,1,
3,,左,Cojedes,2,真也好、假也罢^_-
4,丹东,春卷,辽宁,2,
5,沈阳,山之名昆,辽宁,1,缘起缘灭自有定数 得之我幸 失之我幸
6,营口,去走,辽宁,1,元年，struggle
7,沈阳,纪宝磊,辽宁,1,
8,沈阳,晶革,辽宁,1,N0
9,大连,非诚勿扰,辽宁,1,
10,延边,柏林,吉林,1,
11,烟台,一休。,山东,1,"越是得不到的为什么就越好。<span class=""emoji emoji1f46f""></span> <span class=""emoji emoji1f46f""></span> <span class=""emoji emoji1f46f""></span>"
12,,李涛,,0,
13,,李红艳,北京,2,帅真、善良、才是美。
14,沈阳,纪坤,辽宁,1,
15,沈阳,潇予投资,辽宁,1,你的坚持终将美好！
16,,Guan,,0,
17,深圳,秋无痕,广东,1,静心、守拙
18,沈阳,黄天立,辽宁,1,this is my friend
19,,日月,,1,
20,沈阳,龙先,辽宁,1,最难不是别人的拒绝与不理解，而是你是否为你的梦想而做出改变！
21,哈尔滨,任毅--江海汇鑫--专业  成就  价值,黑龙江,1,人生，要读点祖宗留下的书；还要懂点经济学。修炼！
22,沈阳,一五烤串,辽宁,1,西窑综合市场南侧胡同内
23,沈阳,猫姐,辽宁,2,我的存在是有道理的
24,营口,李雨明,辽宁,1,什么都想得到，最后一定什么也得不到
25,沈阳,李志龙,辽宁,1,坚持梦想，永不放弃！
26,,万里花香おおさか,Osaka,2,寂莫的我，想找一位年龄大一点50岁到60…之间的男士聊天。
27,厦门,锋芒,福建,1,厦门吕岭路  江海证券经纪人张国锋工号81390067
28,营口,李伟,辽宁,1,
29,松原,〆哼一支小曲ゝ,吉林,2,长大了，就要学会坚强。
30,长春,爱丽儿,吉林,2,我真的爱你
31,深圳,阿廷,广东,1,经营人生．
32,牡丹江,蓝色天空,黑龙江,1,喜欢自由生活
33,沈阳,栗子大王马丽干果,辽宁,2,专营迁西板栗二十年，中国驰名商标，长年供货，糖炒天下
34,大连,赵路,辽宁,1,心为逆旅，华胥为引
35,大连,爱信不信,辽宁,1,拿着菜刀砍电线   一路火花带闪电
36,,Aron,,1,
37,丹东,哈哈哈,辽宁,2,
38,安阳,振宇钢材,河南,1,等你等了那么久
39,营口,曲兆东,辽宁,1,坚持不懈
40,徐州,张祥伍,江苏,1,
41,,宠宠熊公益西桥店,,0,【地址】嘉园南街星河苑2号院3号楼5号底商【预约电话】67569088
42,,雪松,,0,
